"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹)
310,1.624849,310,0.963371,390518.6137
313.92404,1.646954,313.92404,0.998935,399873.4034
317.94873,1.674169,317.94873,1.03513,409117.1307
322.0779,1.707192,322.0779,1.071188,417940.6723
326.3158,1.746644,326.3158,1.106059,425941.5975
330.66666,1.792965,330.66666,1.138375,432618.2188
335.13513,1.846267,335.13513,1.166463,437381.9708
339.726,1.906178,339.726,1.18842,439593.2653
344.44446,1.971681,344.44446,1.202273,438625.3766
349.29578,2.041028,349.29578,1.206239,433960.1905
354.2857,2.111769,354.2857,1.199047,425297.1256
359.4203,2.180949,359.4203,1.180261,412653.2961
364.70587,2.245473,364.70587,1.150493,396415.9235
370.14926,2.302562,370.14926,1.111428,377323.8979
375.75757,2.350177,375.75757,1.065617,356371.7467
381.53845,2.387289,381.53845,1.016091,334660.2704
387.5,2.413941,387.5,0.965927,313243.785
393.6508,2.431107,393.6508,0.917862,293005.7316
400,2.440438,400,0.874053,274591.8484
406.55737,2.443992,406.55737,0.835978,258394.2673
413.33334,2.443998,413.33334,0.804446,244571.768
420.339,2.44271,420.339,0.779663,233086.49
427.5862,2.442312,427.5862,0.761291,223736.5203
435.0877,2.44487,435.0877,0.748472,216176.5673
442.85715,2.452272,442.85715,0.739797,209922.3933
450.9091,2.466102,450.9091,0.733236,204345.2954
459.25925,2.487392,459.25925,0.726073,198669.9759
467.92453,2.516232,467.92453,0.714965,192007.7831
476.92307,2.551284,476.92307,0.696276,183460.6631
486.2745,2.58944,486.2745,0.666817,172319.7403
496,2.625983,496,0.624912,158324.1087
506.12244,2.655534,506.12244,0.57134,141856.3893
516.6667,2.673582,516.6667,0.509496,123919.6481
527.65955,2.677854,527.65955,0.444475,105853.0558
539.13043,2.668733,539.13043,0.381502,88922.74031
551.1111,2.648644,551.1111,0.324605,74016.05109
563.63635,2.620948,563.63635,0.276064,61548.94973
576.7442,2.588985,576.7442,0.236587,51548.67486
590.4762,2.555559,590.4762,0.20582,43802.1109
604.87805,2.522828,604.87805,0.182862,37989.66855
620,2.492454,620,0.166615,33770.09419
635.89746,2.465876,635.89746,0.15593,30814.31037
652.6316,2.44467,652.6316,0.149477,28781.6799
670.27026,2.430881,670.27026,0.145129,27209.09624
688.8889,2.426746,688.8889,0.138329,25233.29205
708.5714,2.431117,708.5714,0.119669,21223.05536
729.41174,2.429632,729.41174,0.079784,13745.25879
751.51514,2.400323,751.51514,0.032423,5421.573202
775,2.35086,775,0.005467,886.4561051
800,2.304196,800,0,0
826.6667,2.267624,826.6667,0,0
855.1724,2.23936,855.1724,0,0
885.7143,2.216699,885.7143,0,0
918.5185,2.19777,918.5185,0,0
953.8461,2.181428,953.8461,0,0
992,2.166972,992,0,0
1033.3334,2.153959,1033.3334,0,0
1078.2609,2.142095,1078.2609,0,0
1127.2727,2.131178,1127.2727,0,0
1180.9524,2.12106,1180.9524,0,0
1240,2.111632,1240,0,0
1305.2632,2.102807,1305.2632,0,0
1377.7778,2.094516,1377.7778,0,0
1458.8235,2.086705,1458.8235,0,0
1550,2.079325,1550,0,0
1653.3334,2.072338,1653.3334,0,0
1771.4286,2.06571,1771.4286,0,0
1907.6923,2.05941,1907.6923,0,0
2066.6667,2.053413,2066.6667,0,0